CATEGORY_KEY,CATEGORY_NAME
accounting, Accounting
airport, Airport
amusement_park, Amusement Park
aquarium, Aquarium
art_gallery. Art Gallery
atm, ATM
bakery, Bakery
bank, Bank
bar, Bar
beauty_salon, Beauty Salon
bicycle_store, Bicycle Store
book_store, Book Store
bowling_alley, Bowling Gallery
bus_station, Bus Station
cafe, Cafe
campground, Camp Ground
car_dealer, Car Dealer
car_rental, Car Rental
car_repair, Car Repair
car_wash, Car Wash
casino, Casion
cemetery, Cemetery
church, Church
city_hall, City Hall
clothing_store, Clothing Store
convenience_store, Convenience Store
courthouse, Court House
dentist, Dentist
department_store, Department Store
doctor, Doctor
electrician, Electrician
electronics_store, Electronics Store
embassy, Embassy
fire_station, Fire Station
florist, Florist
funeral_home, Funeral Home
furniture_store, Furniture Store
gas_station, Gas Station
gym, Gym
hair_care. Hair Care
hardware_store, Hardware Store
hindu_temple, Hindu Temple
home_goods_store, Home Goods Store
hospital, Hospital
insurance_agency, Insurance Agency
jewelry_store, Jewellery Store
laundry, Laundry
lawyer, Lawyer
library, Library
liquor_store, Liquor Store
local_government_office, Local Government Office
locksmith, Locksmith
lodging, Lodging
meal_delivery, Meal Delivery
meal_takeaway, Meal Takeaway
mosque, Mosque
movie_rental, Movie Rental
movie_theater, Movie Theater
moving_company, Moving Company
museum, Museum
night_club, Night Club
painter, Painter
park, Park
parking, Parking
pet_store, Pet Store
pharmacy, Pharmacy
physiotherapist, Physiotherapist
plumber, Plumber
police, Police
post_office, Post Office
real_estate_agency, Real Estate Agency
restaurant, Restaurant
roofing_contractor, Roofing Contractor
rv_park, RV Park
school, School
shoe_store, Shoe Store
shopping_mall, Shopping Mall
spa, SPA
stadium, Stadium
storage, Storage
store, Store
subway_station, Subway Station
supermarket, SuperMarket
synagogue, Synagogue
taxi_stand, Taxi Stand
train_station, Train Station
transit_station, Transit Station
travel_agency, Travel Agency
veterinary_care, Veterinary Care
zoo, Zoo
